R0235 R0236 R0238 R0251 R0252 R0253 R0324 R0326 R0328 R0336 R0338 R0340 R0348 R0350 R0352 R0360 R0362 R0364
ENSBTAG00000005660 78620 82850 76929 84195 81870 75051 152129 120246 112370 93594 92957 82328 107806 91483 106735 87214 101162 119216
ENSBTAG00000023907 20713 21426 18927 37371 35750 31768 46236 36456 37662 69228 61567 62297 57151 50366 58077 61212 78521 93707
ENSBTAG00000000648 4 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000005658 4852 4994 4508 8365 7718 6781 5359 4795 4480 7120 6758 6588 4252 3933 4155 7810 9306 10398
ENSBTAG00000000706 98 116 120 96 118 50 109 121 71 48 48 52 165 138 172 63 69 72
ENSBTAG00000045024 5 0 0 0 0 1 0 1 0 0 2 4 1 3 0 0 0 2
ENSBTAG00000024162 3414 3804 3394 3494 3393 3185 5336 4617 4425 4248 3979 3547 4142 3560 4261 3300 3708 4638
ENSBTAG00000050914 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000051007 16 17 27 19 55 24 6 17 8 27 24 29 20 22 23 58 22 29
ENSBTAG00000050144 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000005657 3031 3118 2921 3417 3060 2929 3248 2350 2384 2503 2609 2661 2125 2092 2195 2465 2942 3794
ENSBTAG00000051586 2151 2322 2101 1559 1676 1552 3967 3026 2664 1750 1707 1660 3168 2651 2981 1330 1469 1945
ENSBTAG00000030775 1667 1744 1556 2009 1862 1841 2217 1902 1717 1845 1885 1823 1952 1617 2125 1803 2190 2636
ENSBTAG00000005652 3514 3771 3420 3047 3022 2709 7614 6134 5593 4374 4702 3935 6406 5561 5868 3407 3695 4845
ENSBTAG00000040399 170 156 152 218 197 175 170 171 116 166 120 124 149 125 171 218 242 293
ENSBTAG00000040245 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000030764 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000006920 7269 7558 7250 7736 7438 6746 12765 10047 9477 10814 10034 8747 9601 8657 9541 8390 9941 11249
ENSBTAG00000048318 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSBTAG00000011802 50470 49383 45171 81762 77361 66702 64831 53155 51937 85695 74549 76528 56610 49836 56779 66335 82595 90970
